"Player","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15"
"Walters","N/A","N/A","N/A","N/A","109","140","141","83","125"
"Cork","N/A","N/A","N/A","24","67","53","74","N/A","N/A"
"Rondón"
"Pritchard","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0"
"Varela","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0"
"Özil","N/A","N/A","N/A","N/A","N/A","N/A","N/A","137","103"
"Elphick"
"Remy","N/A","N/A","N/A","N/A","N/A","N/A","53","135","64"
"Lovren","N/A","N/A","N/A","N/A","N/A","N/A","N/A","124","66"
"Ryan Bennett","N/A","N/A","N/A","N/A","N/A","10","28","47","N/A"
"Thauvin"
"Cuadrado","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17"
"McNair","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34"
"Aarons","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13"
"Shaqiri"
"Manquillo","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22"
"Colback","N/A","N/A","0","-2","19","85","73","86","114"
"Macey","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Fernández","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","93"
"Emnes","N/A","N/A","18","21","21","N/A","N/A","N/A","N/A"
"Moha"
"Caballero","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3"
"Schmeichel","0","41","2","83","N/A","N/A","N/A","N/A","N/A"
"Amalfitano","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96","54"
"Pugh"
"Flanagan","N/A","N/A","N/A","N/A","21","5","0","69","0"
"Fernando","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67"
"Beadling"
"Federici","2","0","64","N/A","N/A","N/A","N/A","N/A","N/A"
"McManaman","N/A","N/A","1","0","3","1","43","11","N/A"
"Francis"
"Dzeko","N/A","N/A","N/A","N/A","35","136","130","157","61"
"Graham","1","138","79","40","30","N/A","N/A","N/A","N/A"
"Cissokho","N/A","N/A","N/A","N/A","N/A","N/A","N/A","37","70"
"Herrera","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","98"
"Doyley","41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inler"
"Djuricic","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11"
"Jenkinson","N/A","N/A","N/A","N/A","N/A","12","51","50","94"
"Clasie"
"Collins","44","8","47","114","104","87","90","80","54"
"Stanislas","N/A","N/A","27","60","16","N/A","N/A","N/A","N/A"
"Nolan","81","100","62","140","149","131","62","N/A","N/A"
"Lucas","N/A","N/A","N/A","N/A","N/A","0","0","0","0"
"Darmian"
"Song","35","17","69","101","102","125","0","67","N/A"
"Rivière","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","46"
"Evans","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A"
"Hooiveld","N/A","N/A","N/A","N/A","N/A","N/A","46","1","0"
